band_pos	base_score	move_score	stay_score	action	tb_value
# base=0 from=0 to=84 band_start=0 band_end=84
# start
98	17.3564929962158203	39215.6562500000000000	39221.0468750000000000	move	0
99	17.6679878234863281	39227.8437500000000000	39233.3242187500000000	move	0
100	18.9028205871582031	39241.3828125000000000	39246.7460937500000000	move	0
101	19.0454845428466797	39257.3320312500000000	39260.4296875000000000	move	0
102	18.6190986633300781	39272.3320312500000000	39275.9492187500000000	move	0
103	18.9546337127685547	39287.4609375000000000	39291.2851562500000000	move	0
104	19.1495761871337891	39303.0937500000000000	39306.6093750000000000	move	0
105	18.5934123992919922	39318.0859375000000000	39321.6875000000000000	move	0
106	18.5549125671386719	39332.7578125000000000	39336.6406250000000000	move	0
107	18.6833896636962891	39347.7968750000000000	39351.4414062500000000	move	0
108	18.8640003204345703	39363.0781250000000000	39366.6601562500000000	move	0
109	18.7220191955566406	39378.2226562500000000	39381.8007812500000000	move	0
110	18.9546337127685547	39393.4687500000000000	39397.1757812500000000	move	0
111	18.9416732788085938	39408.8515625000000000	39412.4101562500000000	move	0
112	19.1756420135498047	39424.3515625000000000	39428.0273437500000000	move	0
113	19.3586158752441406	39440.1250000000000000	39443.7109375000000000	move	0
114	19.2539539337158203	39455.7500000000000000	39459.3789062500000000	move	0
115	18.3375205993652344	39470.3398437500000000	39474.0859375000000000	move	0
116	18.6319465637207031	39484.9531250000000000	39488.9726562500000000	move	0
117	18.5420894622802734	39499.9960937500000000	39503.4960937500000000	move	0
118	18.6833896636962891	39515.0117187500000000	39518.6796875000000000	move	0
119	18.4908428192138672	39529.9296875000000000	39533.5039062500000000	move	0
120	18.4908428192138672	39544.7109375000000000	39548.4218750000000000	move	0
121	18.4652442932128906	39559.5546875000000000	39563.1757812500000000	move	0
122	18.7091369628906250	39574.6406250000000000	39578.2656250000000000	move	0
123	18.4141006469726562	39589.5195312500000000	39593.0546875000000000	move	0
124	18.3885555267333984	39604.1601562500000000	39607.9062500000000000	move	0
125	18.5420894622802734	39619.0820312500000000	39622.7031250000000000	move	0
126	18.5164566040039062	39634.0390625000000000	39637.5976562500000000	move	0
127	18.4780406951904297	39648.8828125000000000	39652.5156250000000000	move	0
128	18.5292720794677734	39663.7773437500000000	39667.4101562500000000	move	0
129	18.5420894622802734	39678.7226562500000000	39682.3203125000000000	move	0
130	18.8252258300781250	39693.9257812500000000	39697.5468750000000000	move	0
131	18.4013252258300781	39708.8046875000000000	39712.3281250000000000	move	0
132	18.6319465637207031	39723.6367187500000000	39727.4375000000000000	move	0
133	18.4908428192138672	39738.5937500000000000	39742.1289062500000000	move	0
134	18.6319465637207031	39753.5390625000000000	39757.2265625000000000	move	0
135	18.5934123992919922	39768.5625000000000000	39772.1328125000000000	move	0
136	18.6319465637207031	39783.5468750000000000	39787.1953125000000000	move	0
137	18.8123111724853516	39798.7382812500000000	39802.3593750000000000	move	0
138	18.5164566040039062	39813.6796875000000000	39817.2539062500000000	move	0
139	18.6576595306396484	39828.5820312500000000	39832.3359375000000000	move	0
140	18.4268779754638672	39862.2968750000000000	39847.0078125000000000	stay	1
141	18.6319465637207031	39896.1367187500000000	39865.6406250000000000	stay	2
142	18.4524536132812500	39929.8671875000000000	39884.0937500000000000	stay	3
143	18.5420894622802734	39963.6250000000000000	39902.6367187500000000	stay	4
144	18.5677394866943359	39997.4375000000000000	39921.2031250000000000	stay	5
145	18.7091369628906250	40031.4062500000000000	39939.9140625000000000	stay	6
146	18.4908428192138672	40065.2031250000000000	39958.4062500000000000	stay	7
